pts, length, steps, init_time, run_time, stacks, stack_items, error_items
213, 596, 160, 0.796993, 0.055063, 7, 51, 10
214, 551, 188, 0.719078, 0.040741, 7, 50, 7
34, 46, 40, 0.031567, 0.00058, 7, 16, 4
61, 78, 77, 0.02771, 0.095535, 7, 26, 6
214, 785, 830, 1.169767, 0.347685, 7, 284, 39
233, 1108, 10000, 1.766424, 0.227519, 7, 3419, 3
200, 594, 10000, 0.770881, 0.192652, 7, 3406, 7
237, 817, 10000, 1.250763, 0.341693, 7, 2549, 5
267, 1245, 1991, 1.972475, 0.824637, 7, 453, 6
37, 47, 46, 0.066332, 0.052662, 7, 15, 3
132, 268, 20, 0.248156, 0.00046, 7, 12, 3
56, 81, 571, 0.035377, 0.081459, 6, 191, 1
282, 784, 529, 1.029508, 0.763378, 7, 134, 11
90, 164, 107, 0.19231, 0.097687, 7, 32, 2
101, 142, 124, 0.063037, 0.002318, 7, 34, 6
117, 250, 58, 0.240947, 0.000894999999999979, 5, 22, 0
184, 594, 44, 0.810087, 0.000782, 6, 13, 3
303, 1331, 10000, 2.080956, 0.129793, 5, 3467, 3
151, 332, 302, 0.342429, 0.290154, 7, 78, 5
195, 535, 10000, 0.721768, 0.244392, 7, 3345, 3248
269, 1311, 10000, 2.181538, 0.654279, 7, 1389, 5
46, 64, 58, 0.027585, 0.000537, 6, 23, 2
166, 500, 328, 0.599366, 0.372532, 7, 113, 11
26, 39, 35, 0.029966, 0.000463, 7, 13, 3
83, 133, 109, 0.164923, 0.004234, 7, 32, 7
243, 965, 659, 1.561929, 1.282855, 7, 144, 13
177, 495, 443, 0.682604, 0.300112, 7, 115, 3
268, 1411, 362, 2.28019, 0.304788, 7, 104, 12
286, 1135, 124, 1.667251, 0.099958, 7, 44, 7
23, 26, 23, 0.013421, 0.002363, 6, 11, 2
196, 438, 358, 0.503317, 0.235903, 7, 102, 6
51, 61, 239, 0.020629, 0.004173, 7, 51, 3
197, 544, 324, 0.706352, 0.863816, 7, 77, 7
59, 120, 75, 0.098745, 0.021337, 6, 23, 2
